timestamp,cpu_percent,memory_percent,disk_percent,network_mbps
2026-01-06 08:00:00,23,45,62,12.5
2026-01-06 09:00:00,34,48,62,18.3
2026-01-06 10:00:00,56,52,62,24.7
2026-01-06 11:00:00,67,58,62,31.2
2026-01-06 12:00:00,45,54,62,22.1
2026-01-06 13:00:00,38,51,62,19.8
2026-01-06 14:00:00,72,61,63,35.4
2026-01-06 15:00:00,81,68,63,42.1
2026-01-06 16:00:00,78,65,63,38.9
2026-01-06 17:00:00,42,52,63,21.3
2026-01-07 08:00:00,21,44,63,11.2
2026-01-07 09:00:00,32,47,63,17.8
2026-01-07 10:00:00,48,51,63,23.4
2026-01-07 11:00:00,55,56,63,28.9
2026-01-07 12:00:00,43,53,63,21.7
2026-01-07 13:00:00,39,50,63,18.5
2026-01-07 14:00:00,85,72,64,48.2
2026-01-07 15:00:00,92,78,64,52.6
2026-01-07 16:00:00,88,74,64,49.1
2026-01-07 17:00:00,51,55,64,25.3
2026-01-08 08:00:00,19,43,64,10.8
2026-01-08 09:00:00,28,46,64,15.2
2026-01-08 10:00:00,44,50,64,21.9
2026-01-08 11:00:00,52,54,64,26.4
2026-01-08 12:00:00,41,52,64,20.3
2026-01-08 13:00:00,36,49,64,17.1
2026-01-08 14:00:00,58,57,65,29.8
2026-01-08 15:00:00,63,60,65,32.4
2026-01-08 16:00:00,59,58,65,30.1
2026-01-08 17:00:00,38,50,65,18.9
2026-01-09 08:00:00,22,44,65,11.9
2026-01-09 09:00:00,35,48,65,18.7
2026-01-09 10:00:00,89,75,65,51.3
2026-01-09 11:00:00,95,82,66,58.7
2026-01-09 12:00:00,91,79,66,54.2
2026-01-09 13:00:00,87,76,66,49.8
2026-01-09 14:00:00,93,81,66,56.1
2026-01-09 15:00:00,96,85,67,61.4
2026-01-09 16:00:00,94,83,67,57.8
2026-01-09 17:00:00,68,62,67,34.5
2026-01-10 08:00:00,24,45,67,12.8
2026-01-10 09:00:00,31,47,67,16.4
2026-01-10 10:00:00,47,51,67,22.8
2026-01-10 11:00:00,54,55,67,27.3
2026-01-10 12:00:00,42,52,67,20.9
2026-01-10 13:00:00,37,49,67,17.6
2026-01-10 14:00:00,61,58,68,31.2
2026-01-10 15:00:00,68,63,68,35.8
2026-01-10 16:00:00,64,60,68,33.1
2026-01-10 17:00:00,39,51,68,19.4
2026-01-13 08:00:00,20,43,68,10.5
2026-01-13 09:00:00,29,46,68,15.8
2026-01-13 10:00:00,45,50,68,22.1
2026-01-13 11:00:00,53,54,68,26.9
2026-01-13 12:00:00,40,51,68,19.7
2026-01-13 13:00:00,35,48,68,16.8
2026-01-13 14:00:00,75,66,69,38.9
2026-01-13 15:00:00,82,71,69,44.2
2026-01-13 16:00:00,79,68,69,41.3
2026-01-13 17:00:00,44,53,69,22.6
2026-01-14 08:00:00,18,42,69,9.8
2026-01-14 09:00:00,27,45,69,14.6
2026-01-14 10:00:00,43,49,69,21.2
2026-01-14 11:00:00,51,53,69,25.8
2026-01-14 12:00:00,39,50,69,18.9
2026-01-14 13:00:00,34,47,69,16.2
2026-01-14 14:00:00,56,56,70,28.4
2026-01-14 15:00:00,62,59,70,31.7
2026-01-14 16:00:00,58,57,70,29.5
2026-01-14 17:00:00,36,49,70,17.8
2026-01-15 08:00:00,21,44,70,11.4
2026-01-15 09:00:00,33,47,70,17.2
2026-01-15 10:00:00,86,73,70,47.8
2026-01-15 11:00:00,94,81,71,55.9
2026-01-15 12:00:00,89,77,71,51.2
2026-01-15 13:00:00,91,79,71,53.6
2026-01-15 14:00:00,97,86,72,62.8
2026-01-15 15:00:00,98,88,72,65.3
2026-01-15 16:00:00,95,84,72,59.1
2026-01-15 17:00:00,71,64,72,36.7
