[ko-KR] 영어로 말해봐.	[en] Speak in English.
[ko-KR] 팔로우, 마이네미스.	[en] Follow, Minemis.
[ko-KR] 안녕하세요.	[en] Hello.
[ko-KR] 안녕하세요.	[en] Hello.
[ko-KR] 번역기는 끝내줘.	[en] The translator is amazing.
[ko-KR] 안녕하세요.	[en] Hello.
[en-US] Hello, my name is Gian.	[ko] 안녕하세요, 제 이름은 지안입니다.
[en-US] You're not.	[ko] 넌 아니야.
[en-US] Yeah.	[ko] 네.
[en-US] Young or whatever.	[ko] 젊거나 뭐든.
[en-US] As we start this new part to our study, we can perceive consider man as he is upon the physical plane in the majority of cases.	[ko] 이 새로운 연구의 단계를 시작하면서, 대부분의 경우 인간이 물리적 차원에 있는 것처럼 인식할 수 있습니다.
[ko-KR] 이 새로운 연구의 단계를 시작하면서 대부분의 경우 인간이 물리적 차원에 있는 것처럼 인식할 수 있습니다.	[en] As we begin this new phase of research, in most cases, humans can perceive as if they are physically in the same dimension.
[en-US] Speaking with a broad generalization, we could say that human beings can be grouped into four classes.	[ko] 넓은 일반화로 말하자면, 인간은 네 가지 부류로 나눌 수 있습니다.
[ko-KR] 넓은 일반화로 말하자면 인간은 네 가지 부류로 나눌 수 있습니다.	[en] Broadly generalized, humans can be divided into four categories.
[en-US] One of few who are under the influence of their souls or who are rapidly becoming susceptible to this influence.	[ko] 영혼의 영향 아래 있거나 빠르게 그 영향에 취약해지는 몇 안 되는 이들 중 하나다.
[ko-KR] 영훈의 영양아래에 있거나 빠르게 그 영양에 취약해지는 몇 안되는 이들은 환하다.	[en] The few who are under Younghoon's nourishment or quickly become vulnerable to it are bright.
[en-US] Two personalities of whom there are many today, Three are best number of people who are awakening to mental consciousness.	[ko] 오늘날 많은 두 인격이 있으며, 세 명은 정신적 의식으로 깨어나는 사람들 중 가장 많은 숫자입니다.
[ko-KR] 맨득이 꼬마니가?	[en] Is Mandeuk a little kid?
[en-US] Sprite.	[ko] 스프라이트.
[ko-KR] 무한로프 멀티턴으로 바꾸는 작업을 완료했습니다.	[en] Completed the task of switching to multi-turn infinite rope.
